ulasan,rating_bintang,sentimen
"Seller nya sangat sangat tidak ramah nggak melayani dengan baik ketus dan jutek ini saya jujur ya ngga ada niat sengaja menjatuhkan tapi saya ketika kesana sangat tidak dilayani dengan baik bahkan mbak nya memandang sinis padahal saya beli dan bayar ya nggak nyuri",1,negatif
"Tempat aksesoris hp yg cukup lengkap Tapi kalo beli charger mending beli yg pasti2 aja sih Beli charger disini eh malah meledak Jadi kalo ke sini mending beli pemanis hp aja dibanding beli charger dll",3,netral
"Tempat cari aksesoris gadget yang hampir lengkap Harga sangat terjangkau apalagi pakai member card Perhatiin terus kalo lewat soalnya sering ada promo",4,positif
"Barang cukup lengkap dan harga termasuk wajar saja",3,netral
"Tempatnya strategis harga accecorisnya beraneka ragam harganya cukup terjangkau bagi setiap kalangan hebatnya meskipun tempatnya kecil tapi cukup lengkap dan pelayanannya bagus dari setiap team di dalamnya",5,positif
"Pelayanan nya oke Sayang casing hp salah satu merek dengan jenis tertentu gak banyak pilihan tinggal yg casing transparan aja",3,netral
"Utk kebutuhan aksesoris hp dan laptop ada disini Harga mahasiswa Parkir lega Lokasi strategis Pelayanan cukup ramah Bolehlah",4,positif
"Mbak kasirnya kalo kerja gak fokus ngelayani pelanggan sambil ngomong sm orang lain dan gak fokus Akhirnya ngasih kembalian pun kurang begitu saya tagih masih agak engkel2an",2,negatif
"Kesana untuk beli headset Varian lumayan banyak Harga terjangkau sampai ke yg mahal pun juga ada Pegawai responsive",4,positif
"Cukup lengkap dengan menyediakan banyak pilihan aksesories handphone Harganya pun bervariasi dan cenderung murah",5,positif
"Dapatkan aksesoris handphone dengan harga murah Namun jangan terlalu berharap dengan harga rendah Ada harga ada rupa",5,positif
"Mungkin yang mau cari aksesoris hp mulai dari yang biasa sampe yang berkualitas rekomendasi di sini nih",5,positif
"Sangat bagus bersih dan tempat terawat menyediakan segala kebutuhan handfone",5,positif
"Toko accessories hp yang recommended menurut saya karena pilihannya yang banyak",5,positif
"Jika hp baru terbit terkadang blum ada acessorisnya",4,positif
"pegawai gak ramah bilang iphone TEN R dibully diketawain",1,negatif
"Kebetulan beli pas tidak memuaskan",2,negatif
"Varian produk cukup banyak Harga terjangkau",4,positif
"menyediakan berbagai macam aksesoris handphone",3,netral
"Tempat mudah dijangkau pelayanan ramah",4,positif
"Mantap kualitas terbaik",5,positif
"Bagus lokasi pinggir jalan pelayan oke",4,positif
"Sudah agak kurang lengkap barangnya",3,netral
"Gak terlalu lengkap sih",3,netral
"Harga bersahabat",4,positif
"Kaca kamera j1 ada gak ya",1,negatif
"Karyawannya ramah dan sabar",5,positif
"Aksesoris hp lumayan lengkap",5,positif
"Cari casing hape banyaakk dsini",5,positif
"Banyak pilihannya",5,positif
"lengkap",4,positif
"Ramah banget",5,positif
"Murah",5,positif
"Banyak pilihan murah",5,positif
"Ramai",5,positif
"Tidak lengkap",1,negatif
"Lumayan",5,positif
"Murah lengkap",3,netral
"Tidak sepenuhnya mahal",2,negatif
"acc hp terlengkap di probolinggo harga juga murah pelayanan juga oke thankyouu ka",5,positif
"Pelayanan sangat memuaskan bisa ko sultasi tentang problem HP semuah merk juga lengkap aksesoris juva lengkap yg pasti di jamin puas trims frenz indonesia sukses terua",5,positif
"Masnya ganteng penjual ramah banyak voucher",5,positif
"Aksesoris Hp terlengkap Murah Meriah kualitas terjamin Mas nya ramah yang namanya kiki",5,positif
"Pelayanannya bagus orang nya ramah ramah",5,positif
"mantap diskonnya pelayanan ramah",5,positif
"Lengkap kualitas bagus dan pelayanan bagus Pokoknya the best lah",5,positif
"Barang super lengkap pelayanan joss tenan",5,positif
"Pelayanan sangat ramah mas mas nya ganteng poll",5,positif
"Pelayanan sangat baik Sangat ramah dan bersih",5,positif
"barang sangat lengkap pelayanan juga mantap",5,positif
"Semua toko bersih pelayanan baik",5,positif
"Pelayanan yg sangat ramah k customer",5,positif
"Mantap nih banyak voucher dan diskon lainnya",5,positif
"Pelayanan bagus barangnya juga berkualitas dan murah",5,positif
"Pelayanan sangat memuaskan sangat terjangkau",5,positif
"Salah satu tempat aksesoris terlengkap",5,positif
"Lengkap barangnya banyak pilihan",5,positif
"toko nya lengkap bersih pelayanan juga ramah",5,positif
"Ramah bersih",5,positif
"Barang lengkap mantappp",5,positif
"Temperglass nya bikin sakit mata dan pelayanan kurang",1,negatif
"Pelayanan sudah cukup bagus tp kadaang beberapa sales memaksa utk membeli barang yg harganya diatas dri harga barang yg dibeli oleh customer",4,positif
"Pelayanan nya ramah langganan disini daftar member dapet potongan harga Selalu ngadain promo jugaa",5,positif
"ini dijamin super duper murah banget banyak diskon barang juga awet bgt next bakal order disini lagi deh",5,positif
"harga murah kwalitas istimewa banyak pilihan case harga anti gores kaca full layar mulai dr 10.000 dan pelayanan ramah",5,positif
"Mantapp kok ini hasil nya sy pasang hydrogel iphone 14 promax",5,positif
"harga murah kualitas nya oke banget banyak juga promo nya mulai dari kabel headset anti gores dan pelayanannya juga bagus",5,positif
"Beli headset murah disini kwalitasnya awet dan bagus banget free ongkir cod juga",5,positif
"Beli charger tdk perlu khawatir gabisa karna garansi yg di tawarkan 6bulan guys",5,positif
"paling seneng belanja di cab monang maning lengkap murah ramah pkoknya dilayanin sampe deal walaupun pas rame",5,positif
"Harga murah pelayanannya bagusss pokok nya nggk nyesel beli disini",5,positif
"Toko Acc Hp paling murah sebali dengan pelayanan ramah terpercaya dan kualitas bagus recommend",5,positif
"beli headset bluetooth 2 tahun lalu suaranya bagus dan awet banget",5,positif
"Selalu belanja disini pelayanan oke sukses selalu",5,positif
"Suka belanja disini barang lengkap pelayanan ramah sukses selalu",5,positif
"Tempat Accesories hp dengan harga murah kualitasnya juga oke banget njirr",5,positif
"pelayanan ramah dan baik pengerjaannya teliti dan rapi",5,positif
"kakak"nya ramahh barangnyaa jugaaa bagus bagus",5,positif
"Sangat baik pelayanan ramah suka belanja disini",5,positif
"Saya sudah dua kali beli disini Temperedglas yg prtama beli yg warna item 35k masang nya gak bener ada glembung nya trus saya tanyak kok ada glembung mbak Jwaban nya iyaa kak nanti dia ilang kok krna Hp nya blom panas dan 2 hari yg lalu saya beli Temperedglas juga Iphone 11 yv bening dagang nya gk ada ramah agak jutex mentang2 saya beli yg murah harga 10k trus masangnya bagus tapi kurang teliti baru saya sampai rumah ada debu nempel dlemnya dan saya lepas lagi tempered nya sbelum nya saua udh tanya sama mbak2 yg kcil agak kurus itu yg masang antigores hp saya awas mbak yaa ada debu masuk trus dia jawab iyaa kak nanti klo ada debu masuk kita kita bukak lagi dengan mukak yg jutex pada Customer",1,negatif
"Selalu belanja disini barang bagus pelayanan oke",5,positif
"Pelayannya ramah ngebantu sering belanja disini",5,positif
"Pelayanan yg baik ramah dan bertanggung jawab",5,positif
"Langganan dari dulu pelayanan oke harga dan kualitas juga oke",5,positif
"Senang belanja di sini pelayanan yg super ramah",5,positif
"pelayan nya ramah dan kualitasnya barangnya juga oke",5,positif
"pelayanan ramah dengan harga yang terjangkau",5,positif
"harga murah pelayanan ramah",5,positif
"Pelayanan dan barang oke mantap",5,positif
"Pelayanan mantap kualitas lengkap",5,positif
"Harga murah kualitas oke",5,positif
"Barang nya lengkap dan murah",5,positif
"Suka belanja disini sukses selalu",5,positif
"sangat bagus banget",5,positif
"Pelayan yang jaga 3 tapi memberikan anti gores yang tidak sesuai dengan hp alasannya memang itu Sangat mengecewakan Sekian kali langganan baru kali ini nemu penjaga yang kurang baik",1,negatif
"Pelayanan cukup baik dan cepat",5,positif
"Pelayananya bagus dan murah",5,positif
"Suka belanja disini sukses terus",5,positif
"Harga murah dan tempatnya strategis",5,positif
"Pelayanannya bagus",5,positif
"Bagus sekali",5,positif
"Pelayanan baik dan ramah",5,positif
"Kecewa ke sekian kalinya Dan ini yg terakhir saya mampir setelah lama mempercayakan diri disini Dulu beberapa kali tempreedglass yg ga sesuai dgn type hp yg akhirnya terpaksa harus beli karena sudah kadung nempel di hp Sekarang hydrogel yg menurut sy info dari mba yg pake kaca mata kurang baik menyampaikan kepada konsumen bahwa itu ga cocok di pasang akhirnya dobel belinya Bukan masalah harga tp jika sudah ga sesuai sulit pasti menerima Belum lagi cara pasangnya yg menurut sy agak keras ya sampai di ujung layar bunyi cetaak cetakk ngerii ada goresan walau ga terlalu kliatan tapi sy nabungnya dgn susah payah beli hp nya lo jadi mohon maaf kalau mungkin terlalu berlebihan Semoga hanya sy yg merasakan kekecewaan Sy letak kan di depan kartu member karena ga enak hati mau langsung kasi ke mbaknya Terima kasih untuk semua kerjasamanya selama ini",1,negatif
"mantab beli headset blom seminggu sudah rusak apa karna kabelnya terlalu tipis ya entah lah",1,negatif
"Bagus semua barang nya",5,positif
"aneka ragam aksesoris hp bisa memilih lgsg di display hrga bersahabat dg mengandalkan kualitas tentunya dibantu staf yg ramah recommended utk belanja Kembali",5,positif
"Pelayanan sangat baik",5,positif
"Barang yang di jual kurang bagus baru beli headset dan tws seminggu sudah rusak dan tidak ada garansi padahal harganya lumayan mahal",1,negatif
"Sangat bagus",5,positif
"barang disini lengkap tempatnya juga nyaman dilayani sangat baik dan ramah meskipun lagi rame harga barangnya juga murce dan kualitas barangnya sangat bagus",5,positif
"terbaik",5,positif
"Sudah langganan dari lama sukses selalu",5,positif
"Pelayan baik dilayani ramah dan banyak diskonan. sukses selalu",5,positif
"Alhamdulillah untuk pelayanan nya bagus, penjaga ramah, pengerjaan ataupun pencarian barang cepat, sukses terus untuk frenz cabang bugis",5,positif
"Alhamdulillah pelayanann di toko ini sangat bagus dan barangnya lengkap",5,positif
"Nyaman sekali belanja disini yg pelanggan tetap dan bermemper juga diskonnya banyak sekali",5,positif
"Suka banget beli difrenz barangnya lengkap pelayanannya juga okee",5,positif
"mantap pelayanan nya ramah",5,positif
"Produknya lengkap, pelayanan memuaskan",5,positif
"Mantaappp, pelayanan ramah sekaliii",5,positif
"barang OK, pelayanan pasang screen cepat",5,positif
"Seneng sama frenz, lupa tempatnya akhirnya nyari² dijalan ketemu juga",5,positif
"Mantap pol murah berkualitas",5,positif
"ramah sekali harga terjangkau",5,positif
"lengkap dan pelayanan yang ramah",5,positif
"Mantaps",5,positif
"Pelayanan ramah Pelayanpun cepat",5,positif
"Pelayanan sangat baik",5,positif
"baik dan cepat",5,positif
"bagus sekali",5,positif
"tempatnya agak jauh dari rumah",3,netral
"murah meriah",5,positif
"termurah",5,positif
"pelayanan sangat baik",5,positif
"pegawai ramah",5,positif
"Pelayanan nya ramah",5,positif
"Krenn barangnyaa ori",5,positif
"Pelayanan oke",5,positif
"Hasil bagus sesuai harapan",5,positif
"Pelayanan yang sangat ramah",5,positif
"Barusan pasang TG murah banget 50rb udah anti spy anti radiasi, anti badai wkwk",5,positif
"Semoga lancar rezeki buat karyawan pegawai pegawainya dengan jasa pelayanan yang sangat baik harga terjangkau dan juga stock berbagai macam merk aksesoris hand phone yang lengkap menambah berkah dan semakin banyak pelangan yang berbelanja di outlet frenz Mantap ",5,positif
"Mantapss",5,positif
"Pelayanan memuaskan",5,positif
"Makin ok aja frez dan banyak diskon nya",5,positif
"Pelayanan ramah dan harga oke banyak promonya jugaa",5,positif
"Bersih dan bagus",4,positif
"Pelayananya baik",5,positif
"Joss murah",5,positif
"Pelayanan sangat baik",5,positif
"toko lengkap harga terjangkau",5,positif
"Mantap",5,positif
"Pelayanan mas nya ramah top banget lanjutkan bro",5,positif
"Senang belanja d sini barang lengkap Banyak pilihan Seller nya juga Ramah Harga sesuai",5,positif
"Baik",5,positif
"Pelayann baik dan ramah",5,positif
"Good services",5,positif
"pelayanan top banget barang lumayan lengkap dan banyak diskon",5,positif
"Pelayanannya bagus barangnya lengkap",5,positif
"Pokok nya mantab poll",5,positif
"Sangat memuaskan sekaliii",5,positif
"Pelayanannya baik lumayan lengkap dan yg pasti murah meriah gaeess",5,positif
"Toko aksesoris hp paling lengkap dan pelayanannya cukup baik dan ramah ",5,positif
"Mantap keren",5,positif
"rohul dinaikan gajinya dongg",5,positif
"Frenz Sawojajar 2 'nyaman pelayanannya baik ramah banyak diskonnya  n garasinya jg ndak kaleng2 6bulan '",5,positif
"Pelayanan ok dan terus dvtingkatakan sangat memauskan",5,positif
"Pelayanan bagus dan banyak diskon",5,positif
"Pelayanannya sangat baik kakak nya ramah dan sopan ",5,positif
"Pelayanan bagus dan lengkap",5,positif
"Menyenangkan supel perasaannya nyaman",5,positif
"Pelayanan bagus",5,positif
"pelayanan oke",5,positif
"Lengkap mantap",5,positif
"Baik pelayanannya memuaskan",4,positif
"Pelayanan bagus barang bagus",4,positif
"Pengerjaan cepat bersih ramah",5,positif
"karyawan ramah banyak diskon mantap pokoknya disini",5,positif
"Top pelayanan nya",5,positif
"Pelayanan oke",5,positif
"Pelayanan oke",5,positif
"Bgus barang sesuai dgn harga",4,positif
"Layanan memuaskan",5,positif
"Friendly guys reasonable price",5,positif
"Lengkap",4,positif
"Aksesoris hape paling lengkap di area sawojajar 2",5,positif
"Barang masih kurang lengkap",5,positif
"Rekomended",4,positif
"Ramah murah",5,positif
"Perlengkapan HP banyak macamnya",3,netral
"Murah sih barang bagus tapi ada pak parkire kadang pas barang gak ada harus tetep bayar parkir",4,positif
"Lengkap tapi mahal",3,netral
"Banyak pilihan e",4,positif
"Pelayanan sangat memuaskan...mbaknya cantikk jugaa",5,positif
"Pelayannya bagus jadi buat kalian yang mau wes gak usah diragukan lagi okay...",5,positif
"Ok",5,positif
"Pelayanannya bagus dan ramah",5,positif
"Bagus dan pekerjaanyaa juga baguss, sudah baikk tapii semoga bisa lebih baik Terimakasih",5,positif
"Apik pokok e",5,positif
"Sangat baik dan pelayanan juga cepat",5,positif
"Pelayanannya cepat banget",5,positif
"Pelayanan sangat ramah",5,positif
"Tempat bagus dan pelayanan yang ramah",5,positif
"Reseller ramah, penanganan cepat, mba mba e sat set wes pokok nya the best",5,positif
"Pelayanan Joss gandoss",5,positif
"Bagusss, mbnya ramah bgtt",5,positif
"Ramah banget",5,positif
"Keren",5,positif
"Pelayanannya ramah",5,positif
"Mantab mbknya... cantik cantik dan pelayan aanya memuaskan",5,positif
"Pelayanan nya ramah",5,positif
"Mantap",5,positif
"Sang baik",5,positif
"Pelayanannya bagus ramah tempatnya nyaman",5,positif
"Sat set pelayanan e jozz",5,positif
"Pelayanannya okee banyak promo, thankyou..",5,positif
"Lengkap",5,positif
"Ramah dan responsif",5,positif
"Ter Ter terbaik",5,positif
"Bagus produk dan pelayanannya",5,positif
"Masnya ramah banget",5,positif
"Sangat ramahh",5,positif
"Sangan baikk dan berkualitas",5,positif
"Sangat bagus",4,positif
"Tersedia flashdisk dan ada garansi nya",5,positif
"Ramah dan profesional",5,positif
"Selalu langganan di Frenz, barangnya bagus2 dan terjangkau harganya",5,positif
"Pelayanan sangat baik",5,positif
"Bagus",5,positif
"Aksesoris hp nya lengkap, pelayanan ramah",5,positif
"Pelayanan ramah dan cepat",5,positif
"Terimakasih Franz Landungsari Malang, pelayanannya baik dan ramah banget, harganya terjangkau. Terus produk yang dijual juga pengkap banget! Terimakasih!!",5,positif
"Pelayanan nya baik dan ramahh",5,positif
"Nice one",5,positif
"Wahh pelayanan bagus dan jugaa barangnya juga baguss",5,positif
"Pelayanan ramah dan banyak bonus .",5,positif
"Sangat memuaskan",5,positif
"Pelayanan terbaik",5,positif
"Tempat bersih, pelayanan baik dan ramah, cepat juga",5,positif
"Cs nya ramah, baik, barangnya juga bagus.. Sering langganan di sini soalnya deket",5,positif
"Ramah, semangat terus",5,positif
"Tempat nya strategis , lengkap bersih dan mbak nya ramah cukup puas",5,positif
"Makasiii",5,positif
